,Month,Ridership Trip Count,Year
0,January,726676,2017
1,Feburary,791647,2017
2,March,727665,2017
3,April,1315404,2017
4,May,1523268,2017
5,June,1731594,2017
6,July,1735599,2017
7,August,1816498,2017
8,September,1878098,2017
9,October,1897592,2017
10,November,1330649,2017
11,December,889967,2017
0,January,12677,2018
1,Feburary,15104,2018
2,March,17109,2018
3,April,23634,2018
4,May,34456,2018
5,June,40937,2018
6,July,42268,2018
7,August,44432,2018
8,September,39022,2018
9,October,39138,2018
10,November,24910,2018
11,December,20205,2018
0,January,19676,2019
1,Feburary,18565,2019
2,March,23606,2019
3,April,33056,2019
4,May,36135,2019
5,June,39430,2019
6,July,43746,2019
7,August,48711,2019
8,September,49244,2019
9,October,42253,2019
10,November,30797,2019
11,December,19728,2019
0,January,26020,2020
1,Feburary,22962,2020
2,March,17719,2020
3,April,9268,2020
4,May,25077,2020
5,June,36921,2020
6,July,38680,2020
7,August,43267,2020
8,September,53833,2020
9,October,30086,2020
10,November,21275,2020
11,December,11694,2020
0,January,11624,2021
1,Feburary,4881,2021
2,March,17123,2021
3,April,23774,2021
4,May,45043,2021
5,June,71442,2021
6,July,82578,2021
7,August,93821,2021
8,September,97313,2021
9,October,88762,2021
10,November,60061,2021
11,December,48021,2021
0,January,26762,2022
1,Feburary,31911,2022
2,March,51671,2022
3,April,62528,2022
