date,HOSPRATE_Bronx,HOSPRATE_Brooklyn,HOSPRATE_Manhattan,HOSPRATE_Queens,HOSPRATE_Staten_Island,HOSPRATE_Citywide
2020-03-01,268.4,208,167.9,266.4,157.5,223.3
2020-04-01,440.6,302.8,237.6,396.2,265.5,336.6
2020-05-01,66.9,45.9,33.5,48,48.5,47.8
2020-06-01,22.3,21.5,12.8,18.5,12.2,18.6
2020-07-01,18.7,14.1,10.7,13.6,11.8,13.9
2020-08-01,17.6,12,7.2,10.9,9,11.6
2020-09-01,12.5,14.8,6.2,10.5,8.4,11.2
2020-10-01,16.8,25.9,10.4,17.6,22.9,18.9
2020-11-01,42.5,36.4,26.1,40.2,82.1,39
2020-12-01,104.6,92.2,67,97.2,140.9,93.5
2021-01-01,166.9,135.8,97.8,149,162.8,138.8
2021-02-01,147.9,113.1,83.9,112.7,85.9,111.6
2021-03-01,120.6,106.2,70.9,114.7,113.4,104.5
2021-04-01,69.6,71.2,39.7,72.8,75.4,65.4
2021-05-01,22.1,23.3,14.7,23.1,22.3,21.3
2021-06-01,10.6,10.1,5.5,8.8,13.9,9.1
2021-07-01,16.1,16.1,11.4,16.5,24.8,15.8
2021-08-01,51.1,41.2,28.7,39.2,55.7,40.8
2021-09-01,37.8,33.7,24.3,29.9,39.5,31.9
2021-10-01,21.5,22.1,15.2,19.3,27.7,20.2
2021-11-01,20.2,20.4,11.2,20,30.7,19
2021-12-01,211.3,155.7,120.3,131.2,128.5,150.2
2022-01-01,334.8,222,184,197,219.9,226.9
2022-02-01,34.7,28.9,20.3,27.7,35.1,28.2
2022-03-01,12.3,10,10.2,11,16.8,11.1
2022-04-01,19.9,18.4,22.3,17.7,25,19.6
2022-05-01,0.6,0.7,0.8,0.8,0.6,0.7
